"gene name","gene symbol","entrez"
"eukaryotic translation initiation factor 2B, subunit 3 gamma, 58kDa","EIF2B3",8891
"eukaryotic translation initiation factor 2B, subunit 2 beta, 39kDa","EIF2B2",8892
"eukaryotic translation initiation factor 2B, subunit 5 epsilon, 82kDa","EIF2B5",8893
"eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa","EIF2S2",8894
"copine III","CPNE3",8895
"BUD31 homolog (S. cerevisiae)","BUD31",8896
"myotubularin related protein 3","MTMR3",8897
"myotubularin related protein 2","MTMR2",8898
"PRP4 pre-mRNA processing factor 4 homolog B (yeast)","PRPF4B",8899
"cyclin A1","CCNA1",8900
"copine I","CPNE1",8904
"adaptor-related protein complex 1, sigma 2 subunit","AP1S2",8905
"adaptor-related protein complex 1, gamma 2 subunit","AP1G2",8906
"adaptor-related protein complex 1, mu 1 subunit","AP1M1",8907
"glycogenin 2","GYG2",8908
"endonuclease, polyU-specific","ENDOU",8909
"sarcoglycan, epsilon","SGCE",8910
"calcium channel, voltage-dependent, T type, alpha 1I subunit","CACNA1I",8911
"calcium channel, voltage-dependent, T type, alpha 1H subunit","CACNA1H",8912
"calcium channel, voltage-dependent, T type, alpha 1G subunit","CACNA1G",8913
"timeless homolog (Drosophila)","TIMELESS",8914
"B-cell CLL/lymphoma 10","BCL10",8915
"HECT and RLD domain containing E3 ubiquitin protein ligase 3","HERC3",8916
"HECT and RLD domain containing E3 ubiquitin protein ligase 2","HERC2",8924
"HECT and RLD domain containing E3 ubiquitin protein ligase family member 1","HERC1",8925
"bassoon (presynaptic cytomatrix protein)","BSN",8927
"forkhead box H1","FOXH1",8928
"paired-like homeobox 2b","PHOX2B",8929
"methyl-CpG binding domain protein 4","MBD4",8930
"methyl-CpG binding domain protein 2","MBD2",8932
"family with sequence similarity 127, member A","FAM127A",8933
"RAB7, member RAS oncogene family-like 1","RAB7L1",8934
"src kinase associated phosphoprotein 2","SKAP2",8935
"WAS protein family, member 1","WASF1",8936
"BAI1-associated protein 3","BAIAP3",8938
"far upstream element (FUSE) binding protein 3","FUBP3",8939
"topoisomerase (DNA) III beta","TOP3B",8940
"cyclin-dependent kinase 5, regulatory subunit 2 (p39)","CDK5R2",8941
"kynureninase","KYNU",8942
"adaptor-related protein complex 3, delta 1 subunit","AP3D1",8943
"beta-transducin repeat containing E3 ubiquitin protein ligase","BTRC",8945
"histone cluster 1, H3f","HIST1H3F",8968
"histone cluster 1, H2ag","HIST1H2AG",8969
"histone cluster 1, H2bj","HIST1H2BJ",8970
"H1 histone family, member X","H1FX",8971
"cholinergic receptor, nicotinic, alpha 6 (neuronal)","CHRNA6",8973
"prolyl 4-hydroxylase, alpha polypeptide II","P4HA2",8974
"ubiquitin specific peptidase 13 (isopeptidase T-3)","USP13",8975
"Wiskott-Aldrich syndrome-like","WASL",8976
"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3","PLOD3",8985
"ribosomal protein S6 kinase, 90kDa, polypeptide 4","RPS6KA4",8986
"starch binding domain 1","STBD1",8987
"heat shock 27kDa protein 3","HSPB3",8988
"transient receptor potential cation channel, subfamily A, member 1","TRPA1",8989
"selenium binding protein 1","SELENBP1",8991
"ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1","ATP6V0E1",8992
"peptidoglycan recognition protein 1","PGLYRP1",8993
"LIM domains containing 1","LIMD1",8994
"tumor necrosis factor (ligand) superfamily, member 18","TNFSF18",8995
"nucleolar protein 3 (apoptosis repressor with CARD domain)","NOL3",8996
"kalirin, RhoGEF kinase","KALRN",8997
"cyclin-dependent kinase-like 2 (CDC2-related kinase)","CDKL2",8999
"huntingtin-associated protein 1","HAP1",9001
"coagulation factor II (thrombin) receptor-like 3","F2RL3",9002
"TATA box binding protein (TBP)-associated factor, RNA polymerase I, C, 110kDa","TAF1C",9013
"TATA box binding protein (TBP)-associated factor, RNA polymerase I, B, 63kDa","TAF1B",9014
"TATA box binding protein (TBP)-associated factor, RNA polymerase I, A, 48kDa","TAF1A",9015
"solute carrier family 25 (mitochondrial carrier, brain), member 14","SLC25A14",9016
"myelin protein zero-like 1","MPZL1",9019
"mitogen-activated protein kinase kinase kinase 14","MAP3K14",9020
"suppressor of cytokine signaling 3","SOCS3",9021
"chloride intracellular channel 3","CLIC3",9022
"cholesterol 25-hydroxylase","CH25H",9023
"BR serine/threonine kinase 2","BRSK2",9024
"ring finger protein 8, E3 ubiquitin protein ligase","RNF8",9025
"huntingtin interacting protein 1 related","HIP1R",9026
"N-acetyltransferase 8 (GCN5-related, putative)","NAT8",9027
"rhomboid, veinlet-like 1 (Drosophila)","RHBDL1",9028
"bromodomain adjacent to zinc finger domain, 1B","BAZ1B",9031
"transmembrane 4 L six family member 5","TM4SF5",9032
"polycystic kidney disease 2-like 1","PKD2L1",9033
"chemokine (C-C motif) receptor-like 2","CCRL2",9034
"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A","SEMA5A",9037
"trace amine associated receptor 5","TAAR5",9038
"ubiquitin-like modifier activating enzyme 3","UBA3",9039
"ubiquitin-conjugating enzyme E2M","UBE2M",9040
"sperm associated antigen 9","SPAG9",9043
"BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170kDa (Mot1 homolog, S. cerevisiae)","BTAF1",9044
"ribosomal protein L14","RPL14",9045
"docking protein 2, 56kDa","DOK2",9046
"SH2 domain containing 2A","SH2D2A",9047
"artemin","ARTN",9048
"aryl hydrocarbon receptor interacting protein","AIP",9049
"proline-serine-threonine phosphatase interacting protein 2","PSTPIP2",9050
"proline-serine-threonine phosphatase interacting protein 1","PSTPIP1",9051
"G protein-coupled receptor, family C, group 5, member A","GPRC5A",9052
"microtubule-associated protein 7","MAP7",9053
"NFS1 nitrogen fixation 1 homolog (S. cerevisiae)","NFS1",9054
"protein regulator of cytokinesis 1","PRC1",9055
"solute carrier family 7 (amino acid transporter light chain, y+L system), member 7","SLC7A7",9056
"solute carrier family 7 (amino acid transporter light chain, y+L system), member 6","SLC7A6",9057
"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2","SLC13A2",9058
"3'-phosphoadenosine 5'-phosphosulfate synthase 2","PAPSS2",9060
"3'-phosphoadenosine 5'-phosphosulfate synthase 1","PAPSS1",9061
"protein inhibitor of activated STAT, 2","PIAS2",9063
"mitogen-activated protein kinase kinase kinase 6","MAP3K6",9064
"synaptotagmin VII","SYT7",9066
"angiopoietin-like 1","ANGPTL1",9068
"claudin 12","CLDN12",9069
"ash2 (absent, small, or homeotic)-like (Drosophila)","ASH2L",9070
"claudin 10","CLDN10",9071
"claudin 8","CLDN8",9073
"claudin 6","CLDN6",9074
"claudin 2","CLDN2",9075
"claudin 1","CLDN1",9076
"DIRAS family, GTP-binding RAS-like 3","DIRAS3",9077
"LIM domain binding 2","LDB2",9079
"claudin 9","CLDN9",9080
"XK, Kell blood group complex subunit-related, Y-linked","XKRY",9082
"basic charge, Y-linked, 2","BPY2",9083
"variable charge, Y-linked","VCY",9084
"chromodomain protein, Y-linked, 1","CDY1",9085
"eukaryotic translation initiation factor 1A, Y-linked","EIF1AY",9086
"thymosin beta 4, Y-linked","TMSB4Y",9087
"protein kinase, membrane associated tyrosine/threonine 1","PKMYT1",9088
"phosphatidylinositol glycan anchor biosynthesis, class Q","PIGQ",9091
"squamous cell carcinoma antigen recognized by T cells","SART1",9092
"DnaJ (Hsp40) homolog, subfamily A, member 3","DNAJA3",9093
"unc-119 homolog (C. elegans)","UNC119",9094
"T-box 19","TBX19",9095
"T-box 18","TBX18",9096
"ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase)","USP14",9097
"ubiquitin specific peptidase 6 (Tre-2 oncogene)","USP6",9098
"ubiquitin specific peptidase 2","USP2",9099
"ubiquitin specific peptidase 10","USP10",9100
"ubiquitin specific peptidase 8","USP8",9101
"regucalcin (senescence marker protein-30)","RGN",9104
"myotubularin related protein 6","MTMR6",9107
"myotubularin related protein 7","MTMR7",9108
"myotubularin related protein 4","MTMR4",9110
"N-myc (and STAT) interactor","NMI",9111
"metastasis associated 1","MTA1",9112
"LATS, large tumor suppressor, homolog 1 (Drosophila)","LATS1",9113
"ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1","ATP6V0D1",9114
"SEC22 vesicle trafficking protein homolog C (S. cerevisiae)","SEC22C",9117
"internexin neuronal intermediate filament protein, alpha","INA",9118
"keratin 75","KRT75",9119
"solute carrier family 16, member 6 (monocarboxylic acid transporter 7)","SLC16A6",9120
"solute carrier family 16, member 5 (monocarboxylic acid transporter 6)","SLC16A5",9121
"solute carrier family 16, member 4 (monocarboxylic acid transporter 5)","SLC16A4",9122
"solute carrier family 16, member 3 (monocarboxylic acid transporter 4)","SLC16A3",9123
"PDZ and LIM domain 1","PDLIM1",9124
"RCD1 required for cell differentiation1 homolog (S. pombe)","RQCD1",9125
"structural maintenance of chromosomes 3","SMC3",9126
"purinergic receptor P2X, ligand-gated ion channel, 6","P2RX6",9127
"PRP4 pre-mRNA processing factor 4 homolog (yeast)","PRPF4",9128
"PRP3 pre-mRNA processing factor 3 homolog (S. cerevisiae)","PRPF3",9129
"family with sequence similarity 50, member A","FAM50A",9130
"apoptosis-inducing factor, mitochondrion-associated, 1","AIFM1",9131
"potassium voltage-gated channel, KQT-like subfamily, member 4","KCNQ4",9132
"cyclin B2","CCNB2",9133
"cyclin E2","CCNE2",9134
"rabaptin, RAB GTPase binding effector protein 1","RABEP1",9135
"ribosomal RNA processing 9, small subunit (SSU) processome component, homolog (yeast)","RRP9",9136
"Rho guanine nucleotide exchange factor (GEF) 1","ARHGEF1",9138
"core-binding factor, runt domain, alpha subunit 2; translocated to, 2","CBFA2T2",9139
"autophagy related 12","ATG12",9140
"programmed cell death 5","PDCD5",9141
"chromosome X open reading frame 1","CXorf1",9142
"synaptogyrin 3","SYNGR3",9143
"synaptogyrin 2","SYNGR2",9144
"synaptogyrin 1","SYNGR1",9145
"hepatocyte growth factor-regulated tyrosine kinase substrate","HGS",9146
"nuclear export mediator factor","NEMF",9147
"neuralized homolog (Drosophila)","NEURL",9148
"dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1B","DYRK1B",9149
"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1","CTDP1",9150
"solute carrier family 6 (neurotransmitter transporter, glycine), member 5","SLC6A5",9152
"solute carrier family 28 (sodium-coupled nucleoside transporter), member 2","SLC28A2",9153
"solute carrier family 28 (sodium-coupled nucleoside transporter), member 1","SLC28A1",9154
"exonuclease 1","EXO1",9156
"fibroblast growth factor (acidic) intracellular binding protein","FIBP",9158
"proprotein convertase subtilisin/kexin type 7","PCSK7",9159
"diacylglycerol kinase, iota","DGKI",9162
"estrogen receptor binding site associated, antigen, 9","EBAG9",9166
"cytochrome c oxidase subunit VIIa polypeptide 2 like","COX7A2L",9167
"thymosin beta 10","TMSB10",9168
"SR-related CTD-associated factor 11","SCAF11",9169
"lysophosphatidic acid receptor 2","LPAR2",9170
"myomesin (M-protein) 2, 165kDa","MYOM2",9172
"interleukin 1 receptor-like 1","IL1RL1",9173
"mitogen-activated protein kinase kinase kinase 13","MAP3K13",9175
"5-hydroxytryptamine (serotonin) receptor 3B, ionotropic","HTR3B",9177
"adaptor-related protein complex 4, mu 1 subunit","AP4M1",9179
"oncostatin M receptor","OSMR",9180
"Rho/Rac guanine nucleotide exchange factor (GEF) 2","ARHGEF2",9181
"Ras association (RalGDS/AF-6) domain family (N-terminal) member 9","RASSF9",9182
"ZW10, kinetochore associated, homolog (Drosophila)","ZW10",9183
"budding uninhibited by benzimidazoles 3 homolog (yeast)","BUB3",9184
"RALBP1 associated Eps domain containing 2","REPS2",9185
"solute carrier family 24 (sodium/potassium/calcium exchanger), member 1","SLC24A1",9187
"DEAD (Asp-Glu-Ala-Asp) box helicase 21","DDX21",9188
"zinc finger, BED-type containing 1","ZBED1",9189
"death effector domain containing","DEDD",9191
"solute carrier family 16, member 7 (monocarboxylic acid transporter 2)","SLC16A7",9194
"potassium voltage-gated channel, shaker-related subfamily, beta member 3","KCNAB3",9196
"solute carrier family 33 (acetyl-CoA transporter), member 1","SLC33A1",9197
"protein tyrosine phosphatase-like (proline instead of catalytic arginine), member A","PTPLA",9200
"doublecortin-like kinase 1","DCLK1",9201
"zinc finger, MYM-type 4","ZMYM4",9202
"zinc finger, MYM-type 3","ZMYM3",9203
"zinc finger, MYM-type 6","ZMYM6",9204
"zinc finger, MYM-type 5","ZMYM5",9205
"leucine rich repeat (in FLII) interacting protein 1","LRRFIP1",9208
"leucine rich repeat (in FLII) interacting protein 2","LRRFIP2",9209
"bone morphogenetic protein 15","BMP15",9210
"leucine-rich, glioma inactivated 1","LGI1",9211
"aurora kinase B","AURKB",9212
"xenotropic and polytropic retrovirus receptor 1","XPR1",9213
"Fas apoptotic inhibitory molecule 3","FAIM3",9214
"like-glycosyltransferase","LARGE",9215
"VAMP (vesicle-associated membrane protein)-associated protein B and C","VAPB",9217
"VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa","VAPA",9218
"metastasis associated 1 family, member 2","MTA2",9219
"TGFB1-induced anti-apoptotic factor 1","TIAF1",9220
"nucleolar and coiled-body phosphoprotein 1","NOLC1",9221
"membrane associated guanylate kinase, WW and PDZ domain containing 1","MAGI1",9223
"lecithin retinol acyltransferase (phosphatidylcholine--retinol O-acyltransferase)","LRAT",9227
"discs, large (Drosophila) homolog-associated protein 2","DLGAP2",9228
"discs, large (Drosophila) homolog-associated protein 1","DLGAP1",9229
"RAB11B, member RAS oncogene family","RAB11B",9230
"discs, large homolog 5 (Drosophila)","DLG5",9231
"pituitary tumor-transforming 1","PTTG1",9232
"interleukin 32","IL32",9235
"cell cycle progression 1","CCPG1",9236
"transforming growth factor beta regulator 4","TBRG4",9238
"paraneoplastic Ma antigen 1","PNMA1",9240
"noggin","NOG",9241
"musculin","MSC",9242
"cytokine receptor-like factor 1","CRLF1",9244
"glucosaminyl (N-acetyl) transferase 3, mucin type","GCNT3",9245
"ubiquitin-conjugating enzyme E2L 6","UBE2L6",9246
"glial cells missing homolog 2 (Drosophila)","GCM2",9247
"G protein-coupled receptor 50","GPR50",9248
"dehydrogenase/reductase (SDR family) member 3","DHRS3",9249
"ribosomal protein S6 kinase, 90kDa, polypeptide 5","RPS6KA5",9252
"numb homolog (Drosophila)-like","NUMBL",9253
"calcium channel, voltage-dependent, alpha 2/delta subunit 2","CACNA2D2",9254
"aminoacyl tRNA synthetase complex-interacting multifunctional protein 1","AIMP1",9255
"benzodiazapine receptor (peripheral) associated protein 1","BZRAP1",9256
"malignant fibrous histiocytoma amplified sequence 1","MFHAS1",9258
"PDZ and LIM domain 7 (enigma)","PDLIM7",9260
"mitogen-activated protein kinase-activated protein kinase 2","MAPKAPK2",9261
"serine/threonine kinase 17b","STK17B",9262
"serine/threonine kinase 17a","STK17A",9263
"cytohesin 3","CYTH3",9265
"cytohesin 2","CYTH2",9266
"cytohesin 1","CYTH1",9267
"integrin beta 1 binding protein 1","ITGB1BP1",9270
"piwi-like 1 (Drosophila)","PIWIL1",9271
"B-cell CLL/lymphoma 7C","BCL7C",9274
"B-cell CLL/lymphoma 7B","BCL7B",9275
"coatomer protein complex, subunit beta 2 (beta prime)","COPB2",9276
"WD repeat domain 46","WDR46",9277
"zinc finger and BTB domain containing 22","ZBTB22",9278
"mediator complex subunit 14","MED14",9282
"G protein-coupled receptor 37 like 1","GPR37L1",9283
"trace amine associated receptor 2","TAAR2",9287
"G protein-coupled receptor 56","GPR56",9289
"G protein-coupled receptor 55","GPR55",9290
"G protein-coupled receptor 52","GPR52",9293
"sphingosine-1-phosphate receptor 2","S1PR2",9294
"serine/arginine-rich splicing factor 11","SRSF11",9295
"ATPase, H+ transporting, lysosomal 14kDa, V1 subunit F","ATP6V1F",9296
"small nucleolar RNA, C/D box 22","SNORD22",9304
"suppressor of cytokine signaling 6","SOCS6",9306
"CD83 molecule","CD83",9308
"zinc finger protein 235","ZNF235",9310
"acid-sensing (proton-gated) ion channel 3","ASIC3",9311
"potassium voltage-gated channel, Shab-related subfamily, member 2","KCNB2",9312
"matrix metallopeptidase 20","MMP20",9313
"Kruppel-like factor 4 (gut)","KLF4",9314
"neuronal regeneration related protein homolog (rat)","NREP",9315
"phosphotriesterase related","PTER",9317
"COP9 constitutive photomorphogenic homolog subunit 2 (Arabidopsis)","COPS2",9318
"thyroid hormone receptor interactor 13","TRIP13",9319
"thyroid hormone receptor interactor 12","TRIP12",9320
"thyroid hormone receptor interactor 11","TRIP11",9321
"thyroid hormone receptor interactor 10","TRIP10",9322
"high mobility group nucleosomal binding domain 3","HMGN3",9324
"thyroid hormone receptor interactor 4","TRIP4",9325
"zinc finger, HIT-type containing 3","ZNHIT3",9326
"general transcription factor IIIC, polypeptide 5, 63kDa","GTF3C5",9328
"general transcription factor IIIC, polypeptide 4, 90kDa","GTF3C4",9329
"general transcription factor IIIC, polypeptide 3, 102kDa","GTF3C3",9330
"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6","B4GALT6",9331
"CD163 molecule","CD163",9332
"transglutaminase 5","TGM5",9333
"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5","B4GALT5",9334
"CCR4-NOT transcription complex, subunit 8","CNOT8",9337
"transcription elongation factor A (SII)-like 1","TCEAL1",9338
"glucagon-like peptide 2 receptor","GLP2R",9340
"vesicle-associated membrane protein 3 (cellubrevin)","VAMP3",9341
"synaptosomal-associated protein, 29kDa","SNAP29",9342
"elongation factor Tu GTP binding domain containing 2","EFTUD2",9343
"TAO kinase 2","TAOK2",9344
"N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3","NDST3",9348
"ribosomal protein L23","RPL23",9349
"cerberus 1, cysteine knot superfamily, homolog (Xenopus laevis)","CER1",9350
"solute carrier family 9, subfamily A (NHE3, cation proton antiporter 3), member 3 regulator 2","SLC9A3R2",9351
"thioredoxin-like 1","TXNL1",9352
"slit homolog 2 (Drosophila)","SLIT2",9353
"ubiquitination factor E4A","UBE4A",9354
"LIM homeobox 2","LHX2",9355
"solute carrier family 22 (organic anion transporter), member 6","SLC22A6",9356
"integrin, beta-like 1 (with EGF-like repeat domains)","ITGBL1",9358
"peptidylprolyl isomerase G (cyclophilin G)","PPIG",9360
"lon peptidase 1, mitochondrial","LONP1",9361
"copine VI (neuronal)","CPNE6",9362
"RAB33A, member RAS oncogene family","RAB33A",9363
"RAB28, member RAS oncogene family","RAB28",9364
"klotho","KL",9365
"RAB9B, member RAS oncogene family pseudogene 1","RAB9BP1",9366
"RAB9A, member RAS oncogene family","RAB9A",9367
"solute carrier family 9, subfamily A (NHE3, cation proton antiporter 3), member 3 regulator 1","SLC9A3R1",9368
"neurexin 3","NRXN3",9369
"adiponectin, C1Q and collagen domain containing","ADIPOQ",9370
"kinesin family member 3B","KIF3B",9371
"zinc finger, FYVE domain containing 9","ZFYVE9",9372
"phospholipase A2-activating protein","PLAA",9373
"palmitoyl-protein thioesterase 2","PPT2",9374
"transmembrane 9 superfamily member 2","TM9SF2",9375
"solute carrier family 22 (organic anion transporter), member 8","SLC22A8",9376
"cytochrome c oxidase subunit Va","COX5A",9377
"neurexin 1","NRXN1",9378
"neurexin 2","NRXN2",9379
"glyoxylate reductase/hydroxypyruvate reductase","GRHPR",9380
"otoferlin","OTOF",9381
"component of oligomeric golgi complex 1","COG1",9382
"TSIX transcript, XIST antisense RNA (non-protein coding)","TSIX",9383
"lipase, endothelial","LIPG",9388
"solute carrier family 22, member 14","SLC22A14",9389
"solute carrier family 22 (organic anion transporter), member 13","SLC22A13",9390
"cytosolic iron-sulfur protein assembly 1","CIAO1",9391
"transforming growth factor, beta receptor associated protein 1","TGFBRAP1",9392
"heparan sulfate 6-O-sulfotransferase 1","HS6ST1",9394
"N-myristoyltransferase 2","NMT2",9397
"CD101 molecule","CD101",9398
"stomatin (EPB72)-like 1","STOML1",9399
"RecQ protein-like 5","RECQL5",9400
"RecQ protein-like 4","RECQL4",9401
"GRB2-related adaptor protein 2","GRAP2",9402
"15 kDa selenoprotein","SEP15",9403
"leupaxin","LPXN",9404
"zinc finger, RAN-binding domain containing 2","ZRANB2",9406
"transmembrane protease, serine 11D","TMPRSS11D",9407
"peroxisomal biogenesis factor 16","PEX16",9409
"small nuclear ribonucleoprotein 40kDa (U5)","SNRNP40",9410
"Rho GTPase activating protein 29","ARHGAP29",9411
"mediator complex subunit 21","MED21",9412
"family with sequence similarity 189, member A2","FAM189A2",9413
"tight junction protein 2 (zona occludens 2)","TJP2",9414
"fatty acid desaturase 2","FADS2",9415
"DEAD (Asp-Glu-Ala-Asp) box polypeptide 23","DDX23",9416
"cysteine-rich PDZ-binding protein","CRIPT",9419
"cytochrome P450, family 7, subfamily B, polypeptide 1","CYP7B1",9420
"heart and neural crest derivatives expressed 1","HAND1",9421
"zinc finger protein 264","ZNF264",9422
"netrin 1","NTN1",9423
"potassium channel, subfamily K, member 6","KCNK6",9424
"chromodomain protein, Y-like","CDYL",9425
"endothelin converting enzyme-like 1","ECEL1",9427
"ATP-binding cassette, sub-family G (WHITE), member 2","ABCG2",9429
"carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2","CHST2",9435
"natural cytotoxicity triggering receptor 2","NCR2",9436
"natural cytotoxicity triggering receptor 1","NCR1",9437
"mediator complex subunit 23","MED23",9439
"mediator complex subunit 17","MED17",9440
"mediator complex subunit 26","MED26",9441
"mediator complex subunit 27","MED27",9442
"mediator complex subunit 7","MED7",9443
"QKI, KH domain containing, RNA binding","QKI",9444
"integral membrane protein 2B","ITM2B",9445
"glutathione S-transferase omega 1","GSTO1",9446
"absent in melanoma 2","AIM2",9447
"mitogen-activated protein kinase kinase kinase kinase 4","MAP4K4",9448
"lymphocyte antigen 86","LY86",9450
"eukaryotic translation initiation factor 2-alpha kinase 3","EIF2AK3",9451
"integral membrane protein 2A","ITM2A",9452
"geranylgeranyl diphosphate synthase 1","GGPS1",9453
"homer homolog 3 (Drosophila)","HOMER3",9454
"homer homolog 2 (Drosophila)","HOMER2",9455
"homer homolog 1 (Drosophila)","HOMER1",9456
"four and a half LIM domains 5","FHL5",9457
"Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6","ARHGEF6",9459
"RAS protein activator like 2","RASAL2",9462
"protein interacting with PRKCA 1","PICK1",9463
"heart and neural crest derivatives expressed 2","HAND2",9464
"A kinase (PRKA) anchor protein 7","AKAP7",9465
"interleukin 27 receptor, alpha","IL27RA",9466
"SH3-domain binding protein 5 (BTK-associated)","SH3BP5",9467
"phosphate cytidylyltransferase 1, choline, beta","PCYT1B",9468
"carbohydrate (chondroitin 6) sulfotransferase 3","CHST3",9469
"eukaryotic translation initiation factor 4E family member 2","EIF4E2",9470
"A kinase (PRKA) anchor protein 6","AKAP6",9472
"chromosome 1 open reading frame 38","C1orf38",9473
"autophagy related 5","ATG5",9474
"Rho-associated, coiled-coil containing protein kinase 2","ROCK2",9475
"napsin A aspartic peptidase","NAPSA",9476
"mediator complex subunit 20","MED20",9477
"calcium binding protein 1","CABP1",9478
"mitogen-activated protein kinase 8 interacting protein 1","MAPK8IP1",9479
"one cut homeobox 2","ONECUT2",9480
"solute carrier family 25, member 27","SLC25A27",9481
"syntaxin 8","STX8",9482
"carbohydrate sulfotransferase 10","CHST10",9486
"phosphatidylinositol glycan anchor biosynthesis, class L","PIGL",9487
"phosphatidylinositol glycan anchor biosynthesis, class B","PIGB",9488
"phosphatidylglycerophosphate synthase 1","PGS1",9489
"proteasome (prosome, macropain) inhibitor subunit 1 (PI31)","PSMF1",9491
"kinesin family member 23","KIF23",9493
"A kinase (PRKA) anchor protein 5","AKAP5",9495
"T-box 4","TBX4",9496
"solute carrier family 4, sodium bicarbonate cotransporter, member 7","SLC4A7",9497
"solute carrier family 4, sodium bicarbonate cotransporter, member 8","SLC4A8",9498
"myotilin","MYOT",9499
"melanoma antigen family D, 1","MAGED1",9500
"rabphilin 3A-like (without C2 domains)","RPH3AL",9501
"X antigen family, member 2","XAGE2",9502
"X antigen family, member 1D","XAGE1D",9503
"P antigen family, member 4 (prostate associated)","PAGE4",9506
"ADAM metallopeptidase with thrombospondin type 1 motif, 4","ADAMTS4",9507
"ADAM metallopeptidase with thrombospondin type 1 motif, 3","ADAMTS3",9508
"ADAM metallopeptidase with thrombospondin type 1 motif, 2","ADAMTS2",9509
"ADAM metallopeptidase with thrombospondin type 1 motif, 1","ADAMTS1",9510
"peptidase (mitochondrial processing) beta","PMPCB",9512
"fragile X mental retardation, autosomal homolog 2","FXR2",9513
"galactose-3-O-sulfotransferase 1","GAL3ST1",9514
"syntaxin binding protein 5-like","STXBP5L",9515
"lipopolysaccharide-induced TNF factor","LITAF",9516
"serine palmitoyltransferase, long chain base subunit 2","SPTLC2",9517
"growth differentiation factor 15","GDF15",9518
"TBP-like 1","TBPL1",9519
"aminopeptidase puromycin sensitive","NPEPPS",9520
"eukaryotic translation elongation factor 1 epsilon 1","EEF1E1",9521
"secretory carrier membrane protein 1","SCAMP1",9522
"vacuolar protein sorting 4 homolog B (S. cerevisiae)","VPS4B",9525
"mannose-P-dolichol utilization defect 1","MPDU1",9526
"golgi SNAP receptor complex member 1","GOSR1",9527
"transmembrane protein 59","TMEM59",9528
"BCL2-associated athanogene 5","BAG5",9529
"BCL2-associated athanogene 4","BAG4",9530
"BCL2-associated athanogene 3","BAG3",9531
"BCL2-associated athanogene 2","BAG2",9532
"polymerase (RNA) I polypeptide C, 30kDa","POLR1C",9533
"zinc finger protein 254","ZNF254",9534
"glia maturation factor, gamma","GMFG",9535
"prostaglandin E synthase","PTGES",9536
"tumor protein p53 inducible protein 11","TP53I11",9537
"etoposide induced 2.4 mRNA","EI24",9538
"tumor protein p53 inducible protein 3","TP53I3",9540
"corepressor interacting with RBPJ, 1","CIR1",9541
"neuregulin 2","NRG2",9542
"immunoglobulin superfamily, DCC subclass, member 3","IGDCC3",9543
"RAB3D, member RAS oncogene family","RAB3D",9545
"amyloid beta (A4) precursor protein-binding, family A, member 3","APBA3",9546
"chemokine (C-X-C motif) ligand 14","CXCL14",9547
"ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1","ATP6V1G1",9550
"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F2","ATP5J2",9551
"sperm associated antigen 7","SPAG7",9552
"mitochondrial ribosomal protein L33","MRPL33",9553
"SEC22 vesicle trafficking protein homolog B (S. cerevisiae) (gene/pseudogene)","SEC22B",9554
"H2A histone family, member Y","H2AFY",9555
"chromosome 14 open reading frame 2","C14orf2",9556
"chromodomain helicase DNA binding protein 1-like","CHD1L",9557
"vacuolar protein sorting 26 homolog A (S. pombe)","VPS26A",9559
"multiple inositol-polyphosphate phosphatase 1","MINPP1",9562
"hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)","H6PD",9563
"breast cancer anti-estrogen resistance 1","BCAR1",9564
"GTP binding protein 1","GTPBP1",9567
"gamma-aminobutyric acid (GABA) B receptor, 2","GABBR2",9568
"GTF2I repeat domain containing 1","GTF2IRD1",9569
"golgi SNAP receptor complex member 2","GOSR2",9570
"nuclear receptor subfamily 1, group D, member 1","NR1D1",9572
"growth differentiation factor 3","GDF3",9573
"clock homolog (mouse)","CLOCK",9575
"sperm associated antigen 6","SPAG6",9576
"brain and reproductive organ-expressed (TNFRSF1A modulator)","BRE",9577
"CDC42 binding protein kinase beta (DMPK-like)","CDC42BPB",9578
"SRY (sex determining region Y)-box 13","SOX13",9580
"prolyl endopeptidase-like","PREPL",9581
"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B","APOBEC3B",9582
